ID,Education,Income,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,Customer_Tenure_Days,Total_Spending,Total_Purchases,Total_Accepted_Campaigns,Children_at_home,Living_With,Family_Size,Cluster,Segment
5524,Graduate,58138.0,58,6.455198563340122,4.48863636973214,6.304448802421981,5.153291594497779,4.48863636973214,4.48863636973214,3,8,10,4,7,0,0,0,0,0,0,1,69,4928,31.378848069456303,25,0,0,Alone,1,1,Potential Loyals
2174,Graduate,46344.0,38,2.4849066497880004,0.6931471805599453,1.9459101490553132,1.0986122886681098,0.6931471805599453,1.9459101490553132,2,1,1,2,5,0,0,0,0,0,0,0,72,4378,8.861633597686627,6,0,2,Alone,3,0,New / Occasional
4141,Graduate,71613.0,26,6.056784013228625,3.912023005428146,4.852030263919617,4.718498871295094,3.091042453358316,3.7612001156935624,1,8,2,10,4,0,0,0,0,0,0,0,61,4577,26.39157872292336,21,0,0,Partner,2,2,Loyal Customers
6182,Graduate,26646.0,26,2.4849066497880004,1.6094379124341005,3.044522437723423,2.3978952727983707,1.3862943611198906,1.791759469228055,2,2,0,4,6,0,0,0,0,0,0,0,42,4404,12.71481610309184,8,0,1,Partner,3,0,New / Occasional
5324,PhD,58293.0,94,5.159055299214529,3.784189633918261,4.77912349311153,3.8501476017100584,3.332204510175204,2.772588722239781,5,5,3,6,5,0,0,0,0,0,0,0,45,4426,23.677309260369363,19,0,1,Partner,3,1,Potential Loyals
7446,Postgraduate,62513.0,16,6.255750041753367,3.7612001156935624,4.59511985013459,0.0,3.7612001156935624,2.70805020110221,2,6,4,10,6,0,0,0,0,0,0,0,59,4558,21.08132032437729,22,0,1,Partner,3,2,Loyal Customers
965,Graduate,55635.0,34,5.4638318050256105,4.189654742026425,5.10594547390058,3.9318256327243257,3.912023005428146,3.332204510175204,4,7,3,7,6,0,0,0,0,0,0,0,55,4858,25.93548516928029,21,0,1,Alone,2,2,Loyal Customers
6177,PhD,33454.0,32,4.343805421853684,2.3978952727983707,4.04305126783455,1.3862943611198906,0.6931471805599453,3.1780538303479458,2,4,0,4,8,0,0,0,0,0,0,0,41,4682,16.04224733451439,10,0,1,Partner,3,0,New / Occasional
4855,PhD,30351.0,19,2.70805020110221,0.0,3.218875824868201,1.3862943611198906,1.3862943611198906,1.0986122886681098,1,3,0,2,9,0,0,0,0,0,0,1,52,4653,9.7981270368783,6,0,1,Partner,3,0,New / Occasional
5899,PhD,5648.0,68,3.367295829986474,0.0,1.9459101490553132,0.6931471805599453,0.6931471805599453,2.6390573296152584,1,1,0,0,20,1,0,0,0,0,0,0,76,4373,9.338557669776936,2,1,2,Partner,4,3,At Risk/Low Value
1994,Graduate,51381.5,11,1.791759469228055,1.791759469228055,1.9459101490553132,0.0,1.0986122886681098,0.6931471805599453,1,1,0,2,7,0,0,0,0,0,0,0,43,4491,7.321188556739479,4,0,1,Partner,3,0,New / Occasional
387,Undergraduate,7500.0,59,1.9459101490553132,2.833213344056216,2.4849066497880004,2.4849066497880004,0.6931471805599453,2.833213344056216,1,2,0,3,8,0,0,0,0,0,0,0,50,4858,13.275297317303693,6,0,0,Partner,2,3,At Risk/Low Value
2125,Graduate,63033.0,82,5.272999558563747,4.127134385045092,6.175867270105761,5.420534999272286,4.727387818712341,3.4339872044851463,1,3,4,8,2,0,0,0,0,0,0,0,67,4491,29.157911236184376,16,0,0,Alone,1,1,Potential Loyals
8180,Postgraduate,59354.0,53,5.455321115357702,1.0986122886681098,3.9889840465642745,1.3862943611198906,1.791759469228055,2.70805020110221,3,6,1,5,6,0,0,0,0,0,0,0,74,4491,16.42902148204024,15,0,2,Alone,3,3,At Risk/Low Value
2569,Graduate,17323.0,38,1.3862943611198906,2.70805020110221,2.8903717578961645,1.9459101490553132,0.6931471805599453,1.791759469228055,1,1,0,3,8,0,0,0,0,0,0,0,39,4892,11.415533118961578,5,0,0,Partner,2,0,New / Occasional
2114,PhD,82800.0,23,6.914730892718563,3.1354942159291497,4.7535901911063645,4.0943445622221,4.23410650459726,3.828641396489095,1,7,6,12,3,0,0,1,1,0,0,1,80,4847,26.960907763062536,26,2,0,Alone,1,2,Loyal Customers
9736,Graduate,41850.0,51,3.9889840465642745,1.791759469228055,2.995732273553991,1.0986122886681098,2.6390573296152584,1.6094379124341005,3,3,0,3,8,0,0,0,0,0,0,0,46,4817,14.123583320063789,9,0,2,Partner,4,3,At Risk/Low Value
4939,Graduate,37760.0,20,4.442651256490317,1.791759469228055,3.6635616461296463,5.017279836814924,2.5649493574615367,3.367295829986474,2,4,1,6,7,0,0,0,0,0,0,0,80,4932,20.847497396110953,13,0,0,Partner,2,2,Loyal Customers
6565,Postgraduate,76995.0,91,6.920671504248683,4.394449154672439,6.212606095751519,0.0,2.833213344056216,5.176149732573829,2,11,4,9,5,0,0,0,1,0,0,0,77,4723,25.537089831302687,26,1,1,Partner,3,1,Potential Loyals
2278,Undergraduate,33812.0,86,1.6094379124341005,2.8903717578961645,2.995732273553991,3.4339872044851463,3.218875824868201,3.688879454113936,2,2,1,3,6,0,0,0,0,0,0,0,41,4868,17.837284427351538,8,0,1,Alone,2,3,At Risk/Low Value
